year,feature,description,nunique,std,min,max,importance,importance_pct
2022,feat_fin_Total_Revenue,feat_fin_Total_Revenue,109,0.36293206277596407,0.0,1.0,0.08464657139341308,8.464657139341309
2022,feat_fin_Total_Equity,feat_fin_Total_Equity,106,0.2932721510590637,0.0,1.0,0.0723530293125277,7.23530293125277
2022,feat_fin_Total_Assets,feat_fin_Total_Assets,199,0.1843330362514136,0.0,0.8996566681120063,0.06032285947945888,6.032285947945888
2022,feat_fin_has_dividend,feat_fin_has_dividend,1,0.0,1.0,1.0,0.02681812419897351,2.681812419897351
2022,feat_rd_R&D_Ratio_Pct,feat_rd_R&D_Ratio_Pct,126,0.4019376508655,0.0,1.0,0.023086790278260376,2.3086790278260376
2022,feat_rd_years_after_listing,feat_rd_years_after_listing,78,0.3857330851592442,0.0,0.9933333333333332,0.017841038150931344,1.7841038150931343
2022,feat_rd_is_tech_listing,feat_rd_is_tech_listing,1,0.0,0.0,0.0,0.0,0.0
2022,feat_rd_absence_3y,최근 3개년 R&D 투자 공백 위험,3,0.09262028360968294,0.33333333333333337,1.0,0.0,0.0
2022,feat_rd_to_assets_rank_gap,자산 대비 R&D 투자 부족 위험,201,0.28923923327445933,0.0,0.954337899543379,0.03981327962751567,3.981327962751567
2022,feat_rd_sales_growth_mismatch,매출 성장 대비 R&D 성장 부진 위험,2,0.13421434040727773,0.0,1.0,0.02028012129215787,2.028012129215787
2022,feat_rd_pipeline_disclosure_absence,R&D 성과·파이프라인 공시 부재 위험,1,0.0,1.0,1.0,0.009729979803244299,0.9729979803244299
2022,feat_rd_milestone_correction_ratio,R&D 성과 공시 정정 비율 위험,1,0.0,0.0,0.0,0.0,0.0
2023,feat_hype_volatility,feat_hype_volatility,171,0.29987970586528834,0.0,1.0,0.05414130461389765,5.414130461389765
2023,feat_hype_volume_surge,feat_hype_volume_surge,195,0.23620615967452605,0.0,1.0,0.013334788958852376,1.3334788958852377
2023,feat_hype_momentum,feat_hype_momentum,194,0.09892672601576534,0.0,0.846875,0.02447233062736093,2.447233062736093
2023,feat_hype_mdd,feat_hype_mdd,195,0.06725526673848252,0.0,0.3408602150537634,0.0474833642127174,4.74833642127174
2023,feat_hype_high_gap,feat_hype_high_gap,187,0.19096680114560272,0.0,0.8952638700947226,0.025291792763563855,2.5291792763563854
2023,feat_hype_LOG_PSR,feat_hype_LOG_PSR,115,0.4015280671824497,0.0,1.0,0.18515072822049963,18.515072822049962
2023,feat_hype_LOG_PBR,feat_hype_LOG_PBR,155,0.33275288555485016,0.0,1.0,0.12256140439978863,12.256140439978862
2023,feat_fin_Capital_Impairment_Ratio,feat_fin_Capital_Impairment_Ratio,8,0.21694530950640062,0.0,1.0,0.0,0.0
2023,feat_fin_Debt_Ratio_Pct,feat_fin_Debt_Ratio_Pct,200,0.27595016392009003,0.0,1.0,0.02740859220094909,2.740859220094909
2023,feat_fin_consecutive_op_loss_years,feat_fin_consecutive_op_loss_years,3,0.19276860109449262,0.0,0.4,0.05035626335176836,5.035626335176836
2023,feat_fin_Paid_In_Capital_Increase,feat_fin_Paid_In_Capital_Increase,60,0.39143189696165454,0.0,1.0,0.034353332947034396,3.4353332947034394
2023,feat_fin_3개년_유상증자_누적횟수,feat_fin_3개년_유상증자_누적횟수,4,0.39446786285858576,0.0,1.0,0.018880810555328937,1.8880810555328937
2023,feat_fin_cb_bw_count,feat_fin_cb_bw_count,5,0.09807326537128924,0.0,0.8,0.0,0.0
2023,feat_fin_insider_holdings_pct,feat_fin_insider_holdings_pct,129,0.36504599425408196,0.0,1.0,0.041673493611756006,4.1673493611756
2023,feat_fin_Total_Revenue,feat_fin_Total_Revenue,116,0.3623026879218481,0.0,1.0,0.08464657139341308,8.464657139341309
2023,feat_fin_Total_Equity,feat_fin_Total_Equity,110,0.25831972635947875,0.0,1.0,0.0723530293125277,7.23530293125277
2023,feat_fin_Total_Assets,feat_fin_Total_Assets,198,0.18358126283147463,0.0,0.8996566681120063,0.06032285947945888,6.032285947945888
2023,feat_fin_has_dividend,feat_fin_has_dividend,2,0.2608300989089199,0.0,1.0,0.02681812419897351,2.681812419897351
2023,feat_rd_R&D_Ratio_Pct,feat_rd_R&D_Ratio_Pct,129,0.3999185021810635,0.0,1.0,0.023086790278260376,2.3086790278260376
2023,feat_rd_years_after_listing,feat_rd_years_after_listing,80,0.36732557652069264,0.0,0.9933333333333332,0.017841038150931344,1.7841038150931343
2023,feat_rd_is_tech_listing,feat_rd_is_tech_listing,1,0.0,0.0,0.0,0.0,0.0
2023,feat_rd_absence_3y,최근 3개년 R&D 투자 공백 위험,4,0.17499409015916262,0.0,1.0,0.0,0.0
2023,feat_rd_to_assets_rank_gap,자산 대비 R&D 투자 부족 위험,200,0.28922352590434297,0.0,0.952054794520548,0.03981327962751567,3.981327962751567
2023,feat_rd_sales_growth_mismatch,매출 성장 대비 R&D 성장 부진 위험,71,0.35564043804405815,0.0,1.0,0.02028012129215787,2.028012129215787
2023,feat_rd_pipeline_disclosure_absence,R&D 성과·파이프라인 공시 부재 위험,4,0.20929619145877887,0.0,1.0,0.009729979803244299,0.9729979803244299
2023,feat_rd_milestone_correction_ratio,R&D 성과 공시 정정 비율 위험,5,0.03996038532624152,0.0,0.375,0.0,0.0
